Date,Hours,Price (EUR/MWh),Traded volumes (MWh)
2012.01.18.,H5,"39,75","755,20"
2012.01.18.,H6,"51,00","607,80"
2012.01.18.,H7,"68,00","761,00"
2012.01.18.,H8,"59,11","782,80"
2012.01.18.,H9,"98,00","681,20"
2012.01.18.,H10,"98,00","671,50"
2012.01.18.,H11,"98,01","647,20"
2012.01.18.,H12,"98,01","654,60"
2012.01.18.,H13,"98,01","600,00"
2012.01.18.,H14,"98,01","662,00"
2012.01.18.,H15,"98,00","643,30"
2012.01.18.,H16,"98,01","581,40"
2012.01.18.,H17,"111,04","619,30"
2012.01.18.,H18,"128,00","601,50"
2012.01.18.,H19,"119,00","598,20"
2012.01.18.,H20,"100,01","585,10"
2012.01.18.,H21,"57,01","734,30"
2012.01.18.,H22,"52,21","673,40"
2012.01.18.,H23,"57,01","750,00"
2012.01.18.,H24,"57,01","851,60"
2012.01.19.,H1,"38,89","688,20"
2012.01.19.,H2,"33,00","874,70"
2012.01.19.,H3,"29,87","759,30"
2012.01.19.,H4,"28,25","827,50"
2012.01.19.,H5,"30,08","785,90"
2012.01.19.,H6,"45,94","668,10"
2012.01.19.,H7,"58,00","725,20"
2012.01.19.,H8,"58,00","801,70"
2012.01.19.,H9,"63,01","612,50"
2012.01.19.,H10,"72,95","636,60"
2012.01.19.,H11,"72,10","652,20"
2012.01.19.,H12,"81,00","657,60"
2012.01.19.,H13,"86,03","653,90"
2012.01.19.,H14,"80,01","686,70"
2012.01.19.,H15,"70,00","684,30"
2012.01.19.,H16,"90,59","670,30"
2012.01.19.,H17,"99,01","764,20"
2012.01.19.,H18,"104,99","667,70"
2012.01.19.,H19,"100,01","673,20"
2012.01.19.,H20,"100,00","714,50"
2012.01.19.,H21,"58,01","705,20"
2012.01.19.,H22,"55,35","695,50"
2012.01.19.,H23,"60,00","781,00"
2012.01.19.,H24,"55,00","793,40"
2012.01.20.,H1,"58,00","672,80"
2012.01.20.,H2,"50,00","795,80"
2012.01.20.,H3,"36,01","839,50"
2012.01.20.,H4,"38,00","840,70"
2012.01.20.,H5,"50,00","837,60"
2012.01.20.,H6,"87,00","713,00"
2012.01.20.,H7,"90,89","655,90"
2012.01.20.,H8,"102,66","630,80"
2012.01.20.,H9,"81,00","594,70"
2012.01.20.,H10,"81,01","589,00"
2012.01.20.,H11,"67,06","619,70"
2012.01.20.,H12,"79,10","664,00"
2012.01.20.,H13,"81,01","664,90"
2012.01.20.,H14,"68,59","665,90"
2012.01.20.,H15,"78,01","643,50"
2012.01.20.,H16,"90,96","706,90"
2012.01.20.,H17,"90,01","667,30"
2012.01.20.,H18,"98,00","664,00"
2012.01.20.,H19,"84,98","582,60"
2012.01.20.,H20,"77,71","580,30"
2012.01.20.,H21,"67,07","656,80"
2012.01.20.,H22,"55,25","725,80"
2012.01.20.,H23,"60,01","611,20"
2012.01.20.,H24,"80,01","763,40"
2012.01.21.,H1,"53,01","722,50"
2012.01.21.,H2,"41,10","655,40"
2012.01.21.,H3,"35,45","695,30"
2012.01.21.,H4,"35,00","690,10"
